-
Corners Win - Player One should Win (Twice Over in fact)   (X)
X,O,E,X
O,X,X,O
X,O,X,O
X,O,O,X
-
Column 3 Win - Player Two should Win (O)
X,X,O,X
O,X,O,X
X,X,O,O
E,O,O,X
-
"Diagonal (0,0 - 3,3) - Player One should Win (X)"
X,O,E,X
O,X,E,X
E,E,X,O
E,O,O,X
-
"Box (Middle) - Player Two should Win (O)"
X,O,E,E
X,O,O,X
E,O,O,X
E,X,O,X
-
Tie - No Plays left
X,O,X,X
O,O,O,X
X,X,X,O
O,O,O,X
-
No winner - No plays have happened
E,E,E,E
E,E,E,E
E,E,E,E
E,E,E,E
-
Invalid - Both have winning combos
X,O,O,O
X,X,O,O
E,X,X,O
E,E,E,X
-
Invalid - Players are not within 1 play of each other
X,O,E,X
O,X,E,X
E,E,X,O
X,X,O,X
-
Invalid - Board too small
X,X,O
O,E,O
X,E,X
